global_neuron_idx,local_neuron_idx,sae_idx,sae_config,correlation,p_value,abs_correlation
142,142,0,"(256, 8)",-0.1178012685436881,2.203037924052976e-20,0.1178012685436881
381,125,1,"(128, 6)",0.1176083851240318,2.540787005733734e-20,0.1176083851240318
77,77,0,"(256, 8)",-0.11727935587078275,3.2389439151853415e-20,0.11727935587078275
0,0,0,"(256, 8)",-0.11658491341711313,5.394584035322827e-20,0.11658491341711313
43,43,0,"(256, 8)",-0.11620358903720701,7.129401943993035e-20,0.11620358903720701
407,23,2,"(64, 4)",-0.11595079412802314,8.572591810120697e-20,0.11595079412802314
255,255,0,"(256, 8)",-0.11588395298080098,9.000179525136412e-20,0.11588395298080098
158,158,0,"(256, 8)",0.11535761904713188,1.3191089746025858e-19,0.11535761904713188
223,223,0,"(256, 8)",-0.11535740257298352,1.3193159250645704e-19,0.11535740257298352
218,218,0,"(256, 8)",-0.11473149226552204,2.073964381130013e-19,0.11473149226552204
269,13,1,"(128, 6)",-0.11464459980572034,2.2079497045541233e-19,0.11464459980572034
404,20,2,"(64, 4)",0.11410894573948728,3.2443994538817787e-19,0.11410894573948728
178,178,0,"(256, 8)",-0.11384795686574951,3.9110079969964075e-19,0.11384795686574951
316,60,1,"(128, 6)",-0.11378370298745867,4.0948673856504964e-19,0.11378370298745867
446,62,2,"(64, 4)",-0.11309927136227751,6.668967041756303e-19,0.11309927136227751
79,79,0,"(256, 8)",-0.11254513320017666,9.876792603364046e-19,0.11254513320017666
173,173,0,"(256, 8)",-0.11197953468706842,1.471755233885939e-18,0.11197953468706842
250,250,0,"(256, 8)",-0.11172576756646954,1.7590175044604815e-18,0.11172576756646954
229,229,0,"(256, 8)",0.11147918187323684,2.090956427604272e-18,0.11147918187323684
314,58,1,"(128, 6)",-0.11140160645636127,2.2076441382433664e-18,0.11140160645636127
252,252,0,"(256, 8)",0.111335052250839,2.31286056694517e-18,0.111335052250839
129,129,0,"(256, 8)",-0.11089673756621218,3.1406210896950548e-18,0.11089673756621218
65,65,0,"(256, 8)",-0.11085313622625592,3.2374549217296596e-18,0.11085313622625592
303,47,1,"(128, 6)",-0.1105724690370019,3.9352614535376e-18,0.1105724690370019
420,36,2,"(64, 4)",0.11018905492397676,5.133681358868398e-18,0.11018905492397676
147,147,0,"(256, 8)",-0.11013475355187946,5.3302548129069196e-18,0.11013475355187946
192,192,0,"(256, 8)",-0.109622652331931,7.590200069595845e-18,0.109622652331931
94,94,0,"(256, 8)",-0.1086854010126242,1.443275115762118e-17,0.1086854010126242
384,0,2,"(64, 4)",0.10780235980405452,2.630958890981817e-17,0.10780235980405452
42,42,0,"(256, 8)",-0.10760816331557771,3.0003802476223135e-17,0.10760816331557771
321,65,1,"(128, 6)",-0.10758244808041381,3.052985277102558e-17,0.10758244808041381
11,11,0,"(256, 8)",0.10701709309261587,4.4691382243233864e-17,0.10701709309261587
257,1,1,"(128, 6)",0.10685353900933832,4.9881520748410435e-17,0.10685353900933832
155,155,0,"(256, 8)",-0.10644453132254988,6.560650488522177e-17,0.10644453132254988
110,110,0,"(256, 8)",-0.1061870146700569,7.791879186928947e-17,0.1061870146700569
82,82,0,"(256, 8)",-0.10600061633219152,8.822598874622089e-17,0.10600061633219152
280,24,1,"(128, 6)",-0.10503960863348694,1.6682834101110136e-16,0.10503960863348694
258,2,1,"(128, 6)",-0.10498567643269431,1.7287116863374761e-16,0.10498567643269431
24,24,0,"(256, 8)",0.10498216241908807,1.7327229773626747e-16,0.10498216241908807
15,15,0,"(256, 8)",0.10497742736707658,1.7381426120609497e-16,0.10497742736707658
160,160,0,"(256, 8)",-0.10466725370827842,2.1320464550626933e-16,0.10466725370827842
357,101,1,"(128, 6)",-0.1045700101095911,2.272767882340823e-16,0.1045700101095911
304,48,1,"(128, 6)",0.1041098907756843,3.0729071493214586e-16,0.1041098907756843
95,95,0,"(256, 8)",0.10328192403884164,5.270147624698237e-16,0.10328192403884164
68,68,0,"(256, 8)",-0.1029294331128308,6.622108704252683e-16,0.1029294331128308
247,247,0,"(256, 8)",-0.10287790035393385,6.846472589981279e-16,0.10287790035393385
117,117,0,"(256, 8)",0.10242915897407848,9.144730442804799e-16,0.10242915897407848
83,83,0,"(256, 8)",0.10223807590483447,1.0340288779690807e-15,0.10223807590483447
283,27,1,"(128, 6)",-0.10201964324177483,1.1896274463688198e-15,0.10201964324177483
261,5,1,"(128, 6)",-0.10168428001591995,1.4744399384030017e-15,0.10168428001591995
132,132,0,"(256, 8)",-0.10137729595489912,1.793445765613569e-15,0.10137729595489912
7,7,0,"(256, 8)",-0.10117183156302934,2.0439828629616655e-15,0.10117183156302934
267,11,1,"(128, 6)",0.10028187724440281,3.590348580490404e-15,0.10028187724440281
310,54,1,"(128, 6)",-0.09939961611584522,6.245513474775326e-15,0.09939961611584522
64,64,0,"(256, 8)",-0.09887733633335412,8.647844566559814e-15,0.09887733633335412
244,244,0,"(256, 8)",-0.0986539441552075,9.934307147999375e-15,0.0986539441552075
22,22,0,"(256, 8)",0.09800360194296301,1.4849520502589773e-14,0.09800360194296301
128,128,0,"(256, 8)",-0.09767018132200275,1.8229380885144007e-14,0.09767018132200275
301,45,1,"(128, 6)",-0.09722323976686922,2.3970859494632443e-14,0.09722323976686922
273,17,1,"(128, 6)",-0.09715495908439867,2.4992097492316038e-14,0.09715495908439867
424,40,2,"(64, 4)",-0.09705218892303386,2.6610333356668347e-14,0.09705218892303386
40,40,0,"(256, 8)",0.09669126962925371,3.315247111210001e-14,0.09669126962925371
108,108,0,"(256, 8)",-0.09668902912050772,3.319765741007477e-14,0.09668902912050772
26,26,0,"(256, 8)",-0.09644751553162594,3.844075945610595e-14,0.09644751553162594
227,227,0,"(256, 8)",-0.09607820337310281,4.8069740999321005e-14,0.09607820337310281
241,241,0,"(256, 8)",-0.09598751618618925,5.0775504226238714e-14,0.09598751618618925
175,175,0,"(256, 8)",-0.09585731584210302,5.4923753226807766e-14,0.09585731584210302
236,236,0,"(256, 8)",-0.09582001880593309,5.617224113051e-14,0.09582001880593309
339,83,1,"(128, 6)",-0.09567027181276168,6.1471879720412e-14,0.09567027181276168
